	index	MI	zscore	pval	gene_id	gene_name	TSS	pval_adj	accept	peak
20	chr5:271240-271740	0.19737302963403486	3.3244360045644004	0.00044298782232477435	ENSG00000206077.10	ZDHHC11B	766952	0.03366707449668285	True	chr5:271240-271740
57	chr1:94418191-94418691	0.3177759791498055	4.967060243436881	3.39877381620545e-07	ENSG00000117525.13	F3	94541800	0.00020664544802529136	True	chr1:94418191-94418691
67	chr12:109097961-109098461	0.3334935971829329	3.1854233913419647	0.0007227118387463677	ENSG00000076555.15	ACACB	109116595	0.043237685311338585	True	chr12:109097961-109098461
139	chr8:140464483-140464983	0.2683445726994405	4.455559513902091	4.183733942719866e-06	ENSG00000167632.14	TRAPPC9	140458579	0.0012718551185868395	True	chr8:140464483-140464983
147	chr19:3572496-3572996	0.2590539919618555	3.5266600888401913	0.0002104183315016331	ENSG00000167658.15	EEF2	3985469	0.019881058463565002	True	chr19:3572496-3572996
242	chr19:12938088-12938588	0.3651413647963261	3.1528978030414567	0.000808291957351852	ENSG00000179218.13	CALR	12938578	0.043237685311338585	True	chr19:12938088-12938588
345	chr17:75855243-75855743	0.26632796941920855	3.137018987713006	0.0008533753679869457	ENSG00000161526.14	SAP30BP	75667116	0.043237685311338585	True	chr17:75855243-75855743
463	chr19:1205396-1205896	0.3291025417687199	3.5354788035898816	0.000203518449362332	ENSG00000099864.17	PALM	708939	0.019881058463565002	True	chr19:1205396-1205896
508	chr16:5097821-5098321	0.31777597914980543	3.959275197481339	3.758878516161881e-05	ENSG00000102858.12	MGRN1	4616493	0.006441981753514056	True	chr16:5097821-5098321
514	chr6:10694457-10694957	0.39996586087034847	3.184708971030802	0.0007244982519848814	ENSG00000111837.11	MAK	10838555	0.043237685311338585	True	chr6:10694457-10694957
570	chr17:81034895-81035395	0.3631994642737708	3.5043126641722857	0.0002288937652055181	ENSG00000175866.15	BAIAP2	81035122	0.019881058463565002	True	chr17:81034895-81035395
604	chr7:100428714-100429214	0.33649575758351596	3.930518366937047	4.2381458904697736e-05	ENSG00000166526.16	ZNF3	100082548	0.006441981753514056	True	chr7:100428714-100429214
