	index	MI	zscore	pval	gene_id	gene_name	TSS	pval_adj	accept	peak
1	chr4:176065559-176066059	0.10568981353405041	2.6545925848199445	0.003970212305408933	ENSG00000150627.15	WDR17	176065834	0.09284188775725505	False	chr4:176065559-176066059
3	chr2:48314392-48314892	0.23299136008375196	1.704937003531821	0.04410308706567093	ENSG00000138081.20	FBXO11	47905793	0.35213132934381264	False	chr2:48314392-48314892
6	chr2:45992144-45992644	0.32542066504522904	2.660731972836685	0.003898549852617952	ENSG00000171132.13	PRKCE	45651345	0.09284188775725505	False	chr2:45992144-45992644
14	chr1:169427038-169427538	0.25613968065714676	2.4277434677496412	0.007596542751374944	ENSG00000143153.12	ATP1B1	169105697	0.14433431227612395	False	chr1:169427038-169427538
17	chr1:235866654-235867154	0.08780570439769278	2.2560565998157087	0.012033543341792251	ENSG00000077585.13	GPR137B	236142505	0.17522732931237867	False	chr1:235866654-235867154
20	chr5:271240-271740	0.19737302963403486	3.3244360045644004	0.00044298782232477435	ENSG00000206077.10	ZDHHC11B	766952	0.03366707449668285	True	chr5:271240-271740
26	chr19:58466797-58467297	0.2483244936900119	2.836363041639238	0.0022815272234860923	ENSG00000099326.8	MZF1	58573575	0.08159815011056142	False	chr19:58466797-58467297
30	chr16:89700104-89700604	0.23928513910622054	2.5550202108657754	0.005309081621862592	ENSG00000141002.19	TCF25	89873570	0.11955265281823911	False	chr16:89700104-89700604
31	chr16:89490489-89490989	0.19737302963403477	2.2120055315676055	0.013483141364560362	ENSG00000141002.19	TCF25	89873570	0.18115406689071017	False	chr16:89490489-89490989
38	chr22:50807887-50808387	0.2917691537359258	2.4908883176395578	0.00637120833517831	ENSG00000100239.15	PPP6R2	50343304	0.13357567819960042	False	chr22:50807887-50808387
42	chr1:1615351-1615851	0.1812795828581805	1.7684844283764354	0.0384899765741668	ENSG00000197530.12	MIB2	1615415	0.3278204315377847	False	chr1:1615351-1615851
55	chr19:44845855-44846355	0.169953020239266	1.675857514861188	0.04688305259927493	ENSG00000130202.9	NECTIN2	44846175	0.3563111997544895	False	chr19:44845855-44846355
57	chr1:94418191-94418691	0.3177759791498055	4.967060243436881	3.39877381620545e-07	ENSG00000117525.13	F3	94541800	0.00020664544802529136	True	chr1:94418191-94418691
67	chr12:109097961-109098461	0.3334935971829329	3.1854233913419647	0.0007227118387463677	ENSG00000076555.15	ACACB	109116595	0.043237685311338585	True	chr12:109097961-109098461
74	chr20:63894742-63895242	0.1363269526825064	1.6941905467758442	0.045114540294728354	ENSG00000130584.10	ZBTB46	63831244	0.35213132934381264	False	chr20:63894742-63895242
